,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,GAME_DATE_EST,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,HOME,OPP_RANK,PL_RATING,OPP_RATING
25,22200002,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,32:48,10.0,22.0,0.455,4.0,13.0,0.308,9.0,9.0,1.0,1.0,5.0,6.0,7.0,4.0,1.0,4.0,1.0,33.0,20.0,2022-10-18,Final,1610612744,1610612747,2022,1610612744,123.0,0.455,0.739,0.356,31.0,48.0,1610612747,109.0,0.426,0.76,0.25,23.0,48.0,1,1,0.486,,107.4
26,12200069,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,26:06,4.0,13.0,0.308,1.0,9.0,0.111,5.0,5.0,1.0,0.0,2.0,2.0,5.0,0.0,0.0,1.0,2.0,14.0,-2.0,2022-10-14,Final,1610612744,1610612743,2022,1610612744,112.0,0.435,0.846,0.238,33.0,41.0,1610612743,119.0,0.507,0.829,0.29,28.0,44.0,0,1,0.515,,109.0
27,12200051,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,,2022-10-11,Final,1610612744,1610612757,2022,1610612744,131.0,0.5,0.846,0.405,32.0,49.0,1610612757,98.0,0.386,0.73,0.28,18.0,43.0,1,1,0.371,19.4,90.0
28,12200040,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,24:42,9.0,18.0,0.5,2.0,8.0,0.25,4.0,4.0,1.0,0.0,4.0,4.0,4.0,0.0,0.0,3.0,1.0,24.0,6.0,2022-10-09,Final,1610612744,1610612747,2022,1610612744,121.0,0.477,0.706,0.333,22.0,45.0,1610612747,124.0,0.5,0.944,0.436,24.0,38.0,0,1,0.486,23.2,111.0
29,12200004,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,16:58,7.0,13.0,0.538,3.0,8.0,0.375,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,1.0,4.0,1.0,17.0,-2.0,2022-10-02,Final,1610612744,1610612764,2022,1610612744,104.0,0.458,0.667,0.41,29.0,47.0,1610612764,95.0,0.353,0.9,0.242,23.0,46.0,1,1,0.514,26.0,104.4
30,12200001,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,13:05,1.0,7.0,0.143,1.0,4.0,0.25,3.0,3.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,4.0,0.0,6.0,-2.0,2022-09-30,Final,1610612764,1610612744,2022,1610612764,87.0,0.369,0.633,0.171,20.0,44.0,1610612744,96.0,0.367,0.775,0.269,18.0,62.0,0,0,0.514,30.6,107.4
31,42100406,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,39:55,12.0,21.0,0.571,6.0,11.0,0.545,4.0,4.0,1.0,0.0,7.0,7.0,7.0,2.0,1.0,2.0,4.0,34.0,8.0,2022-06-16,Final,1610612738,1610612744,2021,1610612738,90.0,0.425,0.917,0.393,27.0,41.0,1610612744,103.0,0.413,1.0,0.413,27.0,44.0,0,0,0.6,30.6,103.0
32,42100405,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,37:08,7.0,22.0,0.318,0.0,9.0,0.0,2.0,3.0,0.667,0.0,4.0,4.0,8.0,2.0,0.0,1.0,2.0,16.0,15.0,2022-06-13,Final,1610612744,1610612738,2021,1610612744,104.0,0.466,0.867,0.225,23.0,39.0,1610612738,94.0,0.413,0.677,0.344,18.0,47.0,1,1,0.6,30.4,104.2
33,42100404,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,40:41,14.0,26.0,0.538,7.0,14.0,0.5,8.0,9.0,0.889,2.0,8.0,10.0,4.0,0.0,0.0,5.0,3.0,43.0,11.0,2022-06-10,Final,1610612738,1610612744,2021,1610612738,97.0,0.4,0.737,0.395,22.0,42.0,1610612744,107.0,0.44,0.8,0.349,20.0,55.0,0,0,0.6,25.8,105.4
34,42100403,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,37:08,12.0,22.0,0.545,6.0,11.0,0.545,1.0,1.0,1.0,0.0,4.0,4.0,2.0,2.0,0.0,3.0,4.0,31.0,-14.0,2022-06-08,Final,1610612738,1610612744,2021,1610612738,116.0,0.483,0.708,0.371,28.0,47.0,1610612744,100.0,0.462,0.867,0.375,22.0,31.0,1,0,0.6,25.8,100.8
