,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,HOME,OPP_RANK,PL_RATING,OPP_RATING,WON
898,39:58,13.0,19.0,0.684,6.0,9.0,0.667,2.0,2.0,1.0,1.0,8.0,9.0,5.0,4.0,0.0,5.0,2.0,34.0,13.0,2014,87.0,0.349,0.81,0.238,13.0,46.0,98.0,0.4479999999999999,0.647,0.321,22.0,54.0,0,0,0.618,24.2,103.6,1
899,33:49,9.0,18.0,0.5,4.0,8.0,0.5,6.0,6.0,1.0,0.0,6.0,6.0,7.0,1.0,0.0,5.0,4.0,28.0,21.0,2014,121.0,0.581,1.0,0.6,29.0,39.0,104.0,0.4629999999999999,0.778,0.368,26.0,30.0,1,1,0.636,24.0,99.8,1
900,30:50,6.0,18.0,0.3329999999999999,1.0,5.0,0.2,8.0,8.0,1.0,1.0,4.0,5.0,6.0,2.0,0.0,3.0,1.0,21.0,12.0,2014,90.0,0.402,0.643,0.259,20.0,56.0,95.0,0.444,0.81,0.316,22.0,41.0,0,0,0.7809999999999999,,95.6,1
901,34:06,10.0,19.0,0.526,3.0,8.0,0.375,8.0,8.0,1.0,0.0,5.0,5.0,10.0,3.0,0.0,2.0,3.0,31.0,30.0,2014,127.0,0.5539999999999999,0.857,0.478,30.0,43.0,104.0,0.466,0.72,0.286,21.0,37.0,1,1,0.406,,97.2,1
902,36:32,7.0,17.0,0.412,2.0,9.0,0.222,8.0,9.0,0.889,1.0,9.0,10.0,5.0,6.0,0.0,4.0,5.0,24.0,20.0,2014,77.0,0.308,0.743,0.1669999999999999,13.0,50.0,95.0,0.44,0.7190000000000001,0.222,21.0,44.0,0,0,0.3329999999999999,,103.4,1
903,34:22,5.0,15.0,0.3329999999999999,3.0,7.0,0.429,4.0,4.0,1.0,0.0,2.0,2.0,11.0,2.0,0.0,3.0,1.0,17.0,6.0,2014,119.0,0.512,0.655,0.429,35.0,37.0,112.0,0.5,0.7929999999999999,0.313,21.0,46.0,1,1,0.467,,91.8,1
904,30:51,9.0,13.0,0.6920000000000001,4.0,5.0,0.8,5.0,8.0,0.625,0.0,2.0,2.0,6.0,3.0,1.0,6.0,1.0,27.0,7.0,2014,125.0,0.59,0.8,0.591,28.0,46.0,107.0,0.386,0.805,0.357,26.0,31.0,1,1,0.636,,98.2,1
905,,,,,,,,,,,,,,,,,,,,,2014,90.0,0.392,0.606,0.32,19.0,48.0,83.0,0.418,0.688,0.222,27.0,44.0,1,0,0.618,15.4,103.0,0
906,32:18,2.0,10.0,0.2,1.0,7.0,0.143,2.0,2.0,1.0,1.0,2.0,3.0,7.0,3.0,0.0,1.0,4.0,7.0,-9.0,2014,115.0,0.557,0.8059999999999999,0.632,18.0,35.0,108.0,0.487,0.852,0.29,26.0,29.0,1,0,0.774,20.6,99.2,0
907,17:27,5.0,9.0,0.556,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,2.0,2.0,13.0,-2.0,2014,104.0,0.494,0.667,0.4,24.0,40.0,101.0,0.456,0.733,0.389,18.0,50.0,1,1,0.467,22.8,100.0,1
908,23:30,8.0,11.0,0.727,4.0,7.0,0.5710000000000001,5.0,5.0,1.0,1.0,5.0,6.0,6.0,2.0,1.0,3.0,2.0,25.0,25.0,2014,75.0,0.366,0.882,0.0,17.0,37.0,116.0,0.562,0.677,0.3939999999999999,33.0,44.0,0,0,0.406,21.2,105.0,1
909,27:27,6.0,9.0,0.667,3.0,4.0,0.75,5.0,5.0,1.0,1.0,4.0,5.0,6.0,1.0,0.0,3.0,2.0,20.0,25.0,2014,105.0,0.4379999999999999,0.722,0.091,22.0,42.0,120.0,0.56,0.667,0.5710000000000001,27.0,39.0,0,0,0.406,23.8,103.0,1
910,18:18,2.0,7.0,0.286,0.0,2.0,0.0,8.0,11.0,0.727,0.0,1.0,1.0,3.0,0.0,0.0,3.0,6.0,12.0,2.0,2014,94.0,0.407,0.71,0.261,22.0,37.0,112.0,0.486,0.7659999999999999,0.316,25.0,44.0,0,0,0.636,24.6,103.2,1
911,45:50,7.0,17.0,0.412,3.0,7.0,0.429,16.0,16.0,1.0,1.0,4.0,5.0,9.0,3.0,0.0,2.0,4.0,33.0,2.0,2013,126.0,0.5539999999999999,0.7879999999999999,0.3329999999999999,26.0,38.0,121.0,0.494,0.8290000000000001,0.56,25.0,37.0,1,0,0.8059999999999999,22.8,109.0,0
912,45:29,9.0,24.0,0.375,2.0,8.0,0.25,4.0,7.0,0.5710000000000001,1.0,3.0,4.0,9.0,0.0,0.0,2.0,1.0,24.0,4.0,2013,100.0,0.3929999999999999,0.622,0.292,20.0,50.0,99.0,0.3720000000000001,0.727,0.324,22.0,53.0,1,1,0.8059999999999999,20.8,110.2,1
913,43:42,5.0,10.0,0.5,4.0,7.0,0.5710000000000001,3.0,3.0,1.0,0.0,3.0,3.0,4.0,2.0,0.0,8.0,2.0,17.0,-5.0,2013,113.0,0.487,0.7559999999999999,0.4,20.0,41.0,103.0,0.471,0.684,0.385,24.0,42.0,1,0,0.8059999999999999,,108.4,0
914,42:23,10.0,20.0,0.5,7.0,14.0,0.5,6.0,7.0,0.857,1.0,6.0,7.0,7.0,1.0,1.0,2.0,3.0,33.0,25.0,2013,118.0,0.5539999999999999,0.75,0.469,32.0,34.0,97.0,0.429,0.875,0.3229999999999999,20.0,32.0,1,1,0.8059999999999999,,112.4,1
915,43:25,5.0,12.0,0.417,3.0,8.0,0.375,3.0,4.0,0.75,0.0,2.0,2.0,15.0,1.0,0.0,3.0,3.0,16.0,-1.0,2013,96.0,0.416,0.667,0.1939999999999999,26.0,52.0,98.0,0.465,0.435,0.286,25.0,47.0,0,1,0.8059999999999999,,116.2,0
916,31:00,9.0,17.0,0.529,1.0,7.0,0.143,5.0,5.0,1.0,0.0,1.0,1.0,8.0,2.0,0.0,2.0,4.0,24.0,-27.0,2013,138.0,0.5660000000000001,0.914,0.48,29.0,34.0,98.0,0.474,0.815,0.211,18.0,36.0,1,0,0.8059999999999999,,108.8,0
917,44:39,6.0,16.0,0.375,2.0,6.0,0.3329999999999999,0.0,0.0,0.0,1.0,2.0,3.0,7.0,3.0,0.0,7.0,1.0,14.0,5.0,2013,105.0,0.424,0.657,0.455,24.0,42.0,109.0,0.444,0.72,0.407,26.0,48.0,0,0,0.8059999999999999,,111.8,1
918,,,,,,,,,,,,,,,,,,,,,2013,112.0,0.44,0.8290000000000001,0.265,23.0,42.0,116.0,0.489,0.5710000000000001,0.348,27.0,45.0,0,0,0.531,32.8,110.8,1
919,41:57,10.0,21.0,0.476,7.0,13.0,0.5379999999999999,5.0,5.0,1.0,1.0,4.0,5.0,15.0,3.0,0.0,5.0,4.0,32.0,10.0,2013,130.0,0.485,0.895,0.405,31.0,51.0,120.0,0.531,0.7879999999999999,0.5329999999999999,37.0,43.0,1,1,0.519,29.0,100.8,1
